Topic, Top Word
0,zy3#46.05555555444937;上海市#26.05555555395421;tlc#13.055555554609985;l1#6.429631590243037;松江区#4.055555553860791;吴兴区#0.0555559027043627;西湖区#0.055555768941553355;mux#0.0555556870305427;南浔区#0.05555565535473212;吴中区#0.055555640808529747;金山区#0.05555563871344363;江干区#0.0555556357038047;25#0.05555563068304099;遂昌县#0.05555561629198891;15#0.055555614561573846;临安市#0.055555610910477796;湖州市#0.055555604594696335;江苏省#0.05555560127881783;苏州市#0.0555556000988225;崇明县#0.0555555945161354;乐清市#0.05555558535571667;广德县#0.05555558495895699;杭州市#0.05555557857518885;衢江区#0.055555574365313734;宣城市#0.055555573306424876;慈溪市#0.05555556875572236;德兴市#0.05555556846602642;安徽省#0.05555556730562878;浦城县#0.055555566364179826;江西省#0.055555564152187764;pms2#0.05555556160938073;浙江省#0.05555556145783507;南平市#0.05555556114353512;wfv2#0.05555556092487864;衢州市#0.0555555607844668;上饶市#0.05555556013398746;福建省#0.05555555945357723;温州市#0.05555555936158726;宁波市#0.05555555793893384;丽水市#0.05555555764030859;
1,hj1b#142.76818723240712;ccd1#73.44577121134577;level2#71.40258710802183;district#40.291016615360824;krai#21.055555654681754;64#21.05555559473352;哈密地区#21.055555554508278;新疆维吾尔自治区#19.54463020557635;khabarovsk#14.055555555299321;maysky#14.055555555299321;ayano#14.055555555299321;哈密市#14.055555553967759;24#8.055555542997453;kazakhstan#7.479007093155493;region#7.319629867000209;11#7.0555556274375855;内蒙古自治区#7.055555607029775;51#7.055555581587252;nwfp#7.055555574764013;altai#7.055555571556462;73#7.055555570307879;39#7.055555565438754;tyva#7.055555558743236;tomsk#7.055555556749011;east#7.055555555555379;semipalatenskiy#7.055555555555379;erzinsky#7.055555555555378;76#7.055555555555378;blagoveshchensky#7.055555555555378;伊吾县#7.055555555555376;兴安盟#7.055555555555376;阿尔山市#7.055555555555376;kohistan#7.0555555555553715;bakcharsky#7.055555554748613;republic#7.0555555137336;武义县#6.055555531642936;云和县#3.0555555208160032;金东区#2.0555555296984065;62#0.055555615403190865;57#0.055555585240269344;
2,hj1b#84.0555592336923;level2#42.05555738031782;irs#21.055556539491015;ccd2#21.05555633269629;12#14.055555754015005;永嘉县#9.05555554282939;84#8.055555670585564;湖北省#8.055555625674588;恩施土家族苗族自治州#8.055555555555454;鹤峰县#8.055555555555454;zy02c#8.055555551793569;16#7.055555673360566;辽宁省#7.055555665610996;23#7.055555656744193;sind#7.055555606904092;27#7.055555568982458;建平县#7.055555555555452;朝阳市#7.055555555555452;khairpur#7.055555555555451;assam#7.055555555555451;sonitpur#7.055555555555451;altanbulag#7.055555555555448;tov#7.055555555555448;rasht#6.055555555555455;of#6.055555555555455;republican#6.055555555555455;subordination#6.055555555555455;districts#6.055555555555455;pms#4.0555555515685215;休宁县#0.05555556765669442;庆元县#0.055555563038549326;景宁畲族自治县#0.05555556204969627;长兴县#0.05555555944376086;寿宁县#0.055555559112986555;海宁市#0.05555555834362207;浦城县#0.055555557895522516;丽水市#0.055555557460363586;温州市#0.05555555737855057;福建省#0.0555555570879052;秀洲区#0.055555557042224375;
3,hj1b#737.1872542163701;level2#368.6417816933848;ccd1#330.77464162447603;yazd#65.05555555555492;阿拉善盟#29.05555555344216;irs#25.4154814478874;内蒙古自治区#24.800574674419202;海西蒙古族藏族自治州#23.05555556534573;32#23.055555503686378;青海省#23.055555414773753;额济纳旗#22.055555552756157;57#22.05555553253247;53#21.05555553206051;62#21.05555547742813;15#16.055555560511756;都兰县#16.055555555554957;60#15.055555548082665;14#15.055555462774107;58#15.055555448115411;gujarat#14.055555555554944;河北省#14.055555544192988;55#14.055555543746669;45#14.05555553403887;娄底市#8.055555555554939;波密县#8.055555555554939;林芝地区#8.055555555554939;涟源市#8.055555555554939;100#8.055555543310952;krasnochikoysky#8.055555540172302;pindaya#8.055555538967184;zeysky#8.055555534451234;25#8.05555551449626;91#8.055555510941105;shan#8.055555507766256;13#8.05555550599195;湖南省#8.055555494890287;西藏自治区#8.055555440176708;承德市#7.055555555554935;修水县#7.055555555554935;吉林省#7.055555555554935;
4,hj1b#601.7621113135111;level2#300.9114267986702;irs#208.82773953540743;ccd2#50.055553804557455;ccd1#48.215839668516054;14#23.055555551804865;karvan#21.055555555555028;tiran#21.055555555555028;esfahan#21.055555550323305;and#21.05555553943273;山东省#17.055555549114096;al#16.055555555555035;20#16.055555506058834;郴州市#15.055555555555024;安仁县#15.055555555555024;湖南省#15.055555542050737;51#15.05555553152252;21#15.055555495163718;玉树藏族自治州#15.055555488709032;青海省#15.055555409985498;aceh#14.055555555555028;65#14.055555555555006;壤塘县#14.05555553695268;10#14.055555508148954;大兴安岭地区#9.055555559739977;莱阳市#9.055555555555017;烟台市#9.055555555555017;49#9.055555555555017;khovd#9.055555555555006;呼玛县#9.055555555555006;chandmani#9.055555555555006;黑龙江省#9.055555527520623;ismail#8.055555555555022;dera#8.055555555555022;khan#8.055555555555022;dhabi#8.05555555555502;abo#8.05555555555502;gharbia#8.05555555555502;riyadh#8.055555555555014;81#8.055555555555014;
5,hj1b#398.8725190587053;level2#199.46555186692203;ccd2#168.05555597019926;ccd1#41.94619893694555;61#31.05555555555522;新疆维吾尔自治区#23.5664810850999;20#20.05555566855;kachin#16.05555557318169;若羌县#16.055555555555216;巴音郭楞蒙古自治州#16.055555555555216;machanbaw#16.055555555555205;86#16.055555552696013;19#15.05555559320215;77#15.055555552859952;甘肃省#14.055555586733304;sarawak#14.05555558661026;10#13.055555590555445;杂多县#13.055555576886565;山西省#13.055555555555216;玉树藏族自治州#13.055555547158205;青海省#13.055555529113898;37#8.055555564728689;jargalan#8.055555555555209;定西市#8.055555555555209;安定区#8.055555555555209;82#8.055555555555204;tugul#8.055555555555204;khovsgol#8.055555555555204;govi#8.055555553501337;69#8.055555553201696;58#8.055555539285168;altai#8.055555530026556;irs#8.05555489172772;26#7.055555578340389;60#7.055555563027467;bayankhongor#7.055555562245388;原平市#7.055555555555205;忻州市#7.055555555555205;belaga#7.055555555555199;lumang#7.055555555555199;
6,hj1b#214.05555769024787;level2#107.0555566203908;ccd2#86.0555567900418;16#30.055555775656188;14#22.05555580592416;广东省#22.055555574267572;河源市#15.055555555555333;龙川县#15.055555555555333;广西壮族自治区#14.055555568016354;badakhshan#14.055555555555337;gorno#14.055555555555337;忻城县#14.055555555555335;来宾市#14.055555555555335;irs#14.055555382513164;oblast#13.055555486338521;district#13.055555340562353;13#8.055555630408106;18#8.055555589631304;rashaant#8.05555555555533;olgii#8.05555555555533;bayan#8.05555555555533;10#7.055555643167751;黑龙江省#7.055555595476335;53#7.055555575394657;and#7.0555555725033665;48#7.055555559752698;bakhtiari#7.055555555555333;chahar#7.055555555555333;ardal#7.055555555555333;mahall#7.055555555555333;kargasoksky#7.05555555555533;roshtqal#7.055555555555328;murghob#7.055555555555327;海丰县#7.055555555555327;汕尾市#7.055555555555327;建华区#7.0555555555553235;齐齐哈尔市#7.0555555555553235;tomsk#7.0555555535549335;ccd1#7.055554994354741;bulgan#6.055555555793666;
7,hj1b#397.68989137406015;level2#198.87690737096966;district#167.1543636622742;oblast#149.05555550627025;irkutsk#91.0555555244309;ccd2#89.6448609164422;irs#70.07252746257447;amur#43.05555555127872;ccd1#37.408945303886064;25#25.05555573804638;nizhneilimsky#17.055555555555113;katangsky#16.055555555555106;40#16.055555518669475;16#16.055555477989373;20#15.055555558519211;pavlodar#15.05555555555511;80#15.055555555555099;zabaykalsky#15.055555543149245;region#15.055555441904088;krai#15.055555423212784;22#14.05555559170203;skovorodinsky#13.055555555555106;62#8.055555573833155;89#8.055555557418602;kachugsky#8.055555555555095;may#8.055555555555095;bratsky#8.055555555555095;nizhneudinsky#8.055555555555095;tyndinsky#8.055555555555095;52#8.055555555555095;olovyanninsky#8.055555555555095;格尔木市#8.05555555555509;阜新蒙古族自治县#8.055555555555088;阜新市#8.055555555555088;顺昌县#8.05555555555508;海西蒙古族藏族自治州#8.055555545764316;南平市#8.055555526333578;辽宁省#8.055555523893982;23#8.055555519275627;59#8.055555509842776;
8,hj1b#132.0555581607025;level2#66.0555568509838;district#37.05555579292058;ccd1#29.055556217146847;oblast#29.0555556634453;irkutsk#22.055555586259814;sakha#21.055555609202123;republic#21.055555581936712;neryungri#21.055555555555394;ccd2#20.05555558186436;irs#17.055555804589254;41#15.055555598955292;chunsky#15.055555555555395;59#14.055555676765918;58#13.055555679264904;上饶市#10.547602751061932;20#9.773293000847765;21#9.055555630004974;krasnoyarsk#8.055555557632315;irbeysky#8.055555555555388;riau#8.055555555555387;batam#8.055555555555387;kepulauan#8.055555555555387;krai#8.055555553867274;novosibirsk#7.055555557175359;79#7.055555555555387;zhigalovsky#7.055555555555387;kolyvansky#7.055555555555385;松阳县#6.055555533025954;江西省#5.836889217922055;婺源县#4.055555547058426;德兴市#4.055555534330519;鄱阳县#2.0555555401364836;磐安县#2.0555555287771465;25#1.0555554056107845;18#0.055555560523765084;32#0.0555555570587563;玉山县#0.05555555702002656;pms1#0.05555555652970511;l1#0.05555555645521391;
9,hj1b#288.86875667733864;level2#144.46193025438401;ccd1#79.05555620424074;ccd2#46.0555552149462;71#28.055555554769;广东省#28.055555534285137;irs#18.88894650863496;13#16.055555688181652;内蒙古自治区#16.055555616659024;alborz#16.055555555555262;province#16.055555555555262;khomeynishahr#16.055555555555262;青海省#15.055555607626495;altai#14.05555556508284;26#8.506210883989189;杂多县#8.055555566826742;山东省#8.055555561996197;类乌齐县#8.05555555555527;郓城县#8.055555555555268;察哈尔右翼后旗#8.055555555555268;菏泽市#8.055555555555268;乌兰察布市#8.055555555555268;扎鲁特旗#8.055555555555262;通辽市#8.055555555555262;zavodsky#8.055555548161092;gazimuro#8.055555548161092;54#8.055555547491144;玉树藏族自治州#8.055555540160157;西藏自治区#8.055555539559426;昌都地区#8.055555533130777;31#8.055555513885345;32#7.055555580882301;84#7.055555558719612;govi#7.055555557609133;kanchanaburi#7.055555555555272;na#7.055555555555272;suan#7.055555555555272;sawat#7.055555555555272;普洱市#7.055555555555264;云南省#7.055555555555264;
10,hj1b#128.94655405492702;level2#64.48711224634594;irs#55.889646239928986;17#37.055555619798305;region#24.791481427764506;福建省#19.87714393864087;south#16.05555555485105;kazakhstan#15.632104017835825;宁德市#13.055555572636615;district#11.72128649827864;上饶市#9.563508342763283;28#9.05555569843859;湖北省#9.055555584472987;almaty#9.055555565772993;枣阳市#9.055555555555394;balkhash#9.055555555555394;襄阳市#9.055555555555394;江西省#8.837226901345574;16#8.055555612634146;四川省#8.055555567531375;54#8.0555555636195;pavlodarskiy#8.055555555555394;稻城县#8.055555555555392;甘孜藏族自治州#8.055555555555392;severny#8.055555554212768;iliyskiy#8.05555555410607;novosibirsk#8.055555552592798;漳州市#7.055555555555387;南靖县#7.055555555555387;玉山县#6.055555548723026;舟山市#5.342472619155646;寿宁县#5.055555549114684;桐乡市#5.05555553494331;普陀区#5.055555525341455;福鼎市#4.055555552329923;广丰县#4.055555550812975;柘荣县#3.0555555521996554;岱山县#3.055555548570644;36#1.0555555067349822;13#0.05555556289813156;
11,hj1b#428.91138296197136;level2#214.48478523772988;ccd2#158.33956869905606;ccd1#43.05555464672118;48#27.055555542390497;eastern#26.05555555555518;69#22.055555582258645;11#21.72149332614882;ahsa#20.055555555555177;江西省#15.05555558313535;雅安市#15.055555555555182;荥经县#15.055555555555182;baluchistan#15.05555555555517;四川省#15.055555493353387;15#14.055555698823419;esfahan#14.055555560786914;borkhar#14.05555555555518;meymeh#14.05555555555518;and#14.05555555472945;irs#14.05555468460681;68#12.055555550815164;嵊州市#9.055555563590415;25#8.055555580146951;九江市#8.055555573266762;奇台县#8.05555555555517;昌吉回族自治州#8.05555555555517;彭泽县#8.05555555555517;47#8.05555555555517;khuzdar#8.055555555555165;sharorah#8.055555555555163;najran#8.055555555555163;20#8.05555550499402;新疆维吾尔自治区#8.055555493675998;55#7.055555568461463;100#7.055555567799075;安徽省#7.055555558318608;90#7.055555556519648;92#7.055555555555167;蚌埠市#7.055555555555167;淮上区#7.055555555555167;
12,gf1#396.0555555518145;l1#179.66607080329808;浙江省#51.38748557010337;wfv1#41.0555555537056;wfv2#33.05555554920062;wfv4#29.055555555466576;福建省#24.233967352041105;pms2#22.388682972260586;wfv3#21.05555555442669;南平市#17.05555557734473;pms1#15.65441045590528;四会市#14.055555537678151;肇庆市#14.055555537678151;59#14.055555462179935;衢州市#13.328579983841076;安徽省#11.918965734991362;江西省#11.492550610914055;舟山市#10.768638485708166;浦城县#9.05555554230364;江苏省#8.378920097186041;宣城市#8.055555565524715;杭州市#7.353929536953357;定海区#7.055555555439937;政和县#7.055555554089043;本溪市#7.05555554689196;本溪满族自治县#7.05555554689196;mawlaik#7.055555525512852;sagaing#7.055555488503434;辽宁省#7.055555468497524;38#6.055555558529031;象山县#5.854417453251047;湖州市#5.434719514114277;淳安县#5.055555571199318;常州市#5.055555555555236;东阳市#5.055555539932069;广德县#5.055555526151716;26#4.534189306844956;30#4.055555540318643;衢江区#4.055555526878576;15#4.055555352649409;
13,hj1b#315.4137330082347;level2#157.73247262226235;district#130.05555569232305;ccd2#93.14688688946802;republic#70.05555557099561;krai#54.05555558753147;buryatia#36.05555555555522;ccd1#34.229889092158686;krasnoyarsk#30.055555553478275;irs#27.222164131489052;zabaykalsky#24.05555556168881;11#23.055555675185847;tyva#21.05555555236736;63#15.055555632875462;36#15.055555600969484;todzhinsky#15.055555555555205;72#15.055555553295507;region#15.05555548502217;91#14.055555600168997;sukhobuzimsky#14.055555555555202;24#13.055555568815741;sakha#13.055555501908472;kezhemsky#8.055555555555198;karatuzsky#8.055555555555197;shet#8.055555555555197;pribaykalsky#8.055555555555197;tungokochensky#8.055555555555197;karaganda#8.055555550227673;17#8.055555482871995;40#7.055555570050627;锡林郭勒盟#7.055555563565165;67#7.055555562236344;37#7.055555560095037;severo#7.055555555555196;baykalsky#7.055555555555196;yeravninsky#7.055555555555194;okinsky#7.055555555555194;dzhidinsky#7.055555555555194;阿巴嘎旗#7.0555555555551885;west#7.0555555555551885;
14,gf2#742.0555555511925;l1#410.0709642684778;浙江省#379.7236255324363;pms2#230.72242812914075;pms1#176.45670065037484;宁波市#70.05555554709977;丽水市#52.0555555445576;温州市#44.0555555488793;金华市#40.77134895983029;台州市#39.47275865249249;杭州市#37.75718155024302;绍兴市#36.517015023736604;嘉兴市#35.05555555218708;衢州市#16.782531122040066;余姚市#14.055555555554823;临海市#14.055555555554822;10#14.055555412262919;诸暨市#13.05555555504814;慈溪市#13.0555555423546;苏州市#13.05555550694697;江苏省#12.732190928658577;开化县#11.055555547148572;安徽省#10.192145359830537;新昌县#10.055555550048274;mux#10.055555411251147;湖州市#9.6763915452831;泰顺县#9.055555555554811;永康市#9.05555555555481;秀洲区#9.055555554068116;奉化市#9.055555551791484;天台县#9.055555545937839;鄞州区#8.055555552681486;平湖市#8.055555550356159;景宁畲族自治县#8.055555549060582;临安市#7.854749989093163;黄山市#7.618815829242116;11#7.38961770162201;20#7.337818051529581;象山县#7.2566936572644645;萧山区#7.055555555554796;
15,hj1b#334.5375995682512;level2#167.2935214967684;ccd2#90.0555553252957;ccd1#68.36760252132824;四川省#49.055555603098895;内蒙古自治区#41.31053658779171;阿坝藏族羌族自治州#35.05555555302455;31#31.055555586083514;呼伦贝尔市#23.055555555555227;70#22.055555555555227;松潘县#21.05555555555523;广西壮族自治区#16.05555554309421;22#15.055555641493623;67#15.055555577643693;攀枝花市#14.05555555239981;天柱县#13.055555555555225;贵州省#13.055555555555225;56#13.055555555555225;黔东南苗族侗族自治州#13.055555555555225;irs#9.07238371922723;18#8.055555588109225;10#8.055555578352724;32#8.055555569551613;dornod#8.0555555600626;昭平县#8.055555555555218;南宁市#8.055555555555218;邕宁区#8.055555555555218;贺州市#8.055555555555218;鄂伦春自治旗#8.055555555555218;paktika#8.05555555555521;tsagaanders#8.05555555555521;sharan#8.05555555555521;扎兰屯市#8.05555555555521;21#8.055555510818357;26#7.055555588283623;shan#7.055555586756135;19#7.055555575097693;巴彦淖尔市#7.055555555555214;牙克石市#7.055555555555214;霞浦县#7.055555555555214;
16,hj1b#268.0555568463723;level2#134.05555620071104;ccd1#80.05555643802523;irs#32.05555560440304;39#23.055555541069467;青海省#22.055555723917976;玉树藏族自治州#22.055555646193415;ccd2#22.055555069890374;97#21.05555555555528;21#17.055555586017356;湖南省#16.055555653242003;34#16.05555559842608;region#16.055555556011303;永州市#16.05555555555529;东安县#16.05555555555529;district#16.05555528291702;西藏自治区#14.055555590463053;玉树县#14.055555555555294;naikhongchhari#9.055555555555287;bazar#9.055555555555287;coxs#9.055555555555287;41#9.05555552378275;20#8.055555593191167;45#8.055555577071347;karaganda#8.055555560882814;sarkand#8.05555555555529;osakarov#8.05555555555529;墨竹工卡县#8.055555555555287;拉萨市#8.055555555555287;称多县#8.055555555555285;87#8.05555555555528;bokeo#8.05555555555528;meung#8.05555555555528;almaty#8.05555554533769;10#7.05555560200507;黑龙江省#7.0555555837132955;omnogovi#7.055555574220854;68#7.055555560295272;绥化市#7.055555555555284;望奎县#7.055555555555284;
17,hj1b#263.65311193565014;level2#131.85302958456924;ccd2#62.090906068226346;irs#41.055555825292906;青海省#29.055555803624944;ccd1#28.055555356525154;西藏自治区#23.055555652021614;昌都地区#23.055555577979778;42#22.05555560577247;果洛藏族自治州#21.055555554914285;达日县#21.055555554914285;talas#18.055555555555284;33#17.055555551866153;43#15.055555555555298;芒康县#15.05555555555529;41#15.055555543927936;23#9.055555570734759;三沙市#9.055555555555287;三沙市市辖区#9.055555555555287;海南省#9.055555555555287;江苏省#8.055555593561753;丁青县#8.055555555555284;兴海县#8.055555555555282;海南藏族自治州#8.055555555555282;镇江市#8.055555555555282;句容市#8.055555555555282;21#8.055555552579843;sagaing#7.0555555925646924;37#7.055555578283623;75#7.055555575143676;河北省#7.055555566917236;si#7.055555556408963;satchanalai#7.055555555555287;sukhothai#7.055555555555287;ban#7.055555555555287;tuek#7.055555555555287;murung#7.055555555555285;tengah#7.055555555555285;kalimantan#7.055555555555285;raya#7.055555555555285;
